ARID,ESTAB_ARID,UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,TREATMENT_CODE,CE_EXPECTED_CAPACITY
DDR190314000000195616,DDR190314000000113721,123456789143,CE,Prison,E,RD06,,18 Marshfield Park Cleeve Wood Road,60 Coronation Road,,Tafftown,XX11 0XX,51.4958465,-2.513198,E00075275,E01014897,E02003111,E06000025,W12000000,5,1,,,CE_LF3R3AW,105
DDR190314000000239517,DDR190314000000060922,123456789144,CE,Prison,E,RD06,,Flat 2,39 Cranbrook Road,,Tafftown,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,W12000000,1,5,,,CE_LF3R3BW,110
DDR190314000000320018,DDR190314000000114723,123456789145,CE,Prison,E,RD06,,Flat 56 Francombe House,60 Coronation Road,,Placester,XX1 0XX,51.4463421,-2.5924477,E00073438,E01014540,E02003043,E06000023,N12000000,1,5,,,CE_1LSFN,115
DDR190314000000516419,DDR190314000000516424,123456789146,CE,Prison,E,RD06,,First And Second Floor Flat,,,Placester,XX1 0XX,51.4721166,-2.5970579,E00074083,E01014669,E02003031,E06000023,N12000000,2,4,,,CE_2LEFN,120
DDR190314000000522320,DDR190314000000638025,123456789143,CE,Prison,E,RD06,,Flat 2,,,Windleybury,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,E12000009,3,3,,,CE_QF2R1E,125
DDR190314000000195621,DDR190314000000113726,123456789144,CE,Prison,E,RD04,,14 Blackhorse Road,Commercial Road,,Windleybury,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,E12000009,4,2,,,CE_QF2R2E,130
DDR190314000000239522,DDR190314000000060927,123456789145,CE,Prison,E,RD06,,18 Marshfield Park Cleeve Wood Road,39 Cranbrook Road,Phone area,Windleybury,XX11 0XX,51.4958465,-2.513198,E00075275,E01014897,E02003111,E06000025,E12000009,5,1,,,CE_QF2R3AE,135
DDR190314000000320023,DDR190314000000114728,123456789146,CE,Prison,E,RD06,,Flat 56 Francombe House,60 Coronation Road,,Windleybury,XX1 0XX,51.4463421,-2.5924477,E00073438,E01014540,E02003043,E06000023,E12000009,1,5,,,CE_QF3R1E,140
DDR190314000000516424,DDR190314000000516429,123456789147,CE,Prison,E,RD06,,First And Second Floor Flat,Commercial Road,,Windleybury,XX1 0XX,51.4721166,-2.5970579,E00074083,E01014669,E02003031,E06000023,E12000009,2,4,,,CE_QF3R2E,0
DDR190314000000522325,DDR190314000000638030,123456789148,CE,Prison,E,RD06,,Flat 2,39 Cranbrook Road,,Windleybury,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,E12000009,3,3,,,CE_QF3R3AE,0
DDR190314000000195626,DDR190314000000113731,123456789149,CE,Prison,E,RD04,,14 Blackhorse Road,60 Coronation Road,,Tafftown,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,W12000000,4,2,,,CE_QF2R1W,0
DDR190314000000516666,DDR190314000000516424,123456789147,CE,Prison,U,RD06,,First And Second Floor Flat,Commercial Road,,Windleybury,XX1 0XX,51.4721166,-2.5970579,E00074083,E01014669,E02003031,E06000023,E12000009,2,4,,,CE_QF3R2E,3
DDR190314000000522222,DDR190314000000522325,123456789148,CE,Prison,U,RD06,,Flat 2,39 Cranbrook Road,,Windleybury,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,E12000009,3,3,,,CE_QF3R3AE,4
DDR190314000000195555,DDR190314000000195626,123456789149,CE,Prison,U,RD04,,14 Blackhorse Road,60 Coronation Road,,Tafftown,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,W12000000,4,2,,,CE_QF2R1W,5


